name,activation,target,area,duration,range,savetype,onsave,school,description,level,icon
OATH OF ETERNITY,immediate,You,,1 round,Personal,,,"Eternal Guardian (Counter) [curse, teleportation]","You declare a swathe of the battlefield to be your domain,
in which you will brook no trespass. You teleport across
the battlefield with each blow, blinking towards an enemy
then returning to your original position. After initiating this
counter, your threatened area increases to 40 feet for one
round. This overlaps with, rather than stacking with, any
natural reach you otherwise have; if your natural reach is
greater than 40 feet, it is not reduced. In addition, for the
duration of this boost, your attacks of opportunity deal
an additional 3d6 points of damage and curse the target
for one round, and you can make a number of additional
attacks of opportunity this round equal to 1/2 your initiator
level. This stacks with the Combat Reflexes feat and other
effects that increase the number of attacks of opportunity
you can make in a round.",9,icons/svg/holy-shield.svg
FLOWING CREEK,immediate,You,,Instantaneous,Personal,,,Mithral Current (Counter),"Like the flowing water that inspired your art, you sidestep
and work around foes instead of fighting them directly. You
can initiate this counter in response to a melee or ranged
attack (including touch or ranged touch spell attacks) being
made against you. Make a Perform (dance) check, using
your opponents attack roll as the DC. If you succeed, the
attack is negated and you may take a 5-foot step as a free
action, even if you have already taken one this round.",1,icons/svg/waterfall.svg
FOLLOWING WAKE,swift,You,,1 round,Personal,,,Mithral Current (Boost),"By utilizing the momentum of your body and blade, you
turn a charge into disabling slash that leaves your opponent
on the ground. After initiating this boost, you can make a
trip attempt against the next creature you charge this round
as a free action, using a Perform (dance) check in place of
your combat maneuver check. This combat maneuver
attempt does not provoke an attack of opportunity.",1,icons/svg/waterfall.svg
SWIFT CURRENT,standard,One creature,,Instantaneous,Melee attack,,,Mithral Current (Strike),"One of the basic tenets of the Mithral Current is that all
momentum can be turned into a powerful offensive tool.
As an initiate of the discipline, you can use the momentum
of drawing your blade from its sheath to increase a strikes
power. Make a melee attack. If it hits, it deals weapon
damage as normal plus an additional 1d6 points of damage.
If you drew your weapon as part of this strike, your target is
considered flat-footed against this attack.TIDAL BLADE
Discipline: Mithral Current (Strike)
Level: 1
Initiation Action: 1 standard action
Range: Melee attack
Target: Up to two creatures
Duration: Instantaneous
As a disciple of the Mithral Current discipline, your skill and
grace comes from your flowing movements and lightningquick attacks. You make a swift slash, striking through
multiple enemies with your swing. Make a melee attack
roll and compare it to the AC of two creatures within your
reach. If the attack roll hits a target, the attack deals weapon
damage as normal. Use the same damage roll for each target.
If you drew your weapon as part of this strike, you gain a +2
bonus on your attack roll.",1,icons/svg/waterfall.svg
CALM THE STORM,immediate,One creature,,Instantaneous,Melee attack,,,Mithral Current (Counter),"By perfectly timing your counterattacks, you can force your
opponent into a position where they are unable to further
attack you. You can initiate this counter in response to a
melee or ranged attack being made against you. Make an
attack roll with a weapon you are wielding. If your attack roll
is higher than your opponents, their attack is negated and
they must succeed on a Reflex Save (DC 12 + your initiation
modifier) or be unable to target you with any other attacks
this turn.",2,icons/svg/waterfall.svg
DUAL CRASH,standard,One creature,,Instantaneous,Melee attack,,,Mithral Current (Strike),"With a sudden reversal of direction, you strike an enemy
when they least expect it—at the instant after theyd already
been hit. Make a melee attack. If it hits, it deals weapon
damage as normal. If you drew your weapon as part of this
strike, you can make a second attack against the same target
with a –2 penalty on the attack roll.",2,icons/svg/waterfall.svg
IRON WAVE,standard,One creature,,Instantaneous (see text),Melee or close (25 ft. + 5 ft./2 levels),,,Mithral Current (Strike),"By imitating the motions of ocean waves, you extend the
reach of your blade beyond its edge. Make a melee attack. If
it hits, it deals weapon damage as normal plus an additional
2d6 points of damage. If you drew your weapon as part of
this strike, you can make your attack against any creature
within close range (25 feet + 5 feet per 2 initiator levels),
even if that creature isnt within your reach. The attack is
still treated as a melee attack, and a creature struck must
succeed at a Will save (DC 12 + your initiation modifier) or
become vulnerable to silver until the end of your next turn.
Creatures with vulnerability to silver take 50% more damage
from silver weapons. This maneuver is a supernatural ability.",2,icons/svg/waterfall.svg
RIDE THE WAKE,swift,You,,Instantaneous,Personal,,,Mithral Current (Boost),"For a disciple of the Mithral Current discipline, stillness
is death, and you acknowledge this fact by continuing to
move even after striking your foes. If you drew a weapon
as part of making an attack this round, you can initiate this
boost to move up to your speed without provoking attacks
of opportunity.",2,icons/svg/waterfall.svg
RIPTIDE STRIKE,standard,One creature,,Instantaneous,Melee attack,,,Mithral Current (Strike),"Like the dangerous tidal swells that pull swimmers out
to sea and under the waves, you pull an opponent to the
ground with your strike. Make a melee attack. If it hits, it
deals weapon damage as normal plus an additional 2d6
points of damage. If you drew your weapon as part of this
strike, you may also make a trip attempt against them as a
free action with a +2 competence bonus on your combat
maneuver check. This trip attempt does not provoke an
attack of opportunity.",2,icons/svg/waterfall.svg
RIPPLING CURRENT,standard,One creature,,Instantaneous,Melee attack,,,Mithral Current (Strike),"Your blade weaves in and out of your opponents sight to
strike at an unexpected angle. Make a melee attack. If it
hits, it deals weapon damage as normal plus an additional
3d6 points of damage. If you drew your weapon as part of
this strike, your target is considered flat-footed against this
attack.",3,icons/svg/waterfall.svg
RUSHING WAKE,swift,You,,1 round,Personal,,,Mithral Current (Boost),"With a sudden burst of speed, you charge towards a foe,
skillfully knocking aside any others in your path. After
initiating this boost, when you make a charge attack this
round, you can make a trip attempt as a free action against
each opponent adjacent to you at any point in your
movement. These trip attempts do not provoke attacks of
opportunity, although your movement still does as normal.",3,icons/svg/waterfall.svg
SALT BREEZE STRIKE,standard,One creature,,Instantaneous,Melee attack,,,Mithral Current (Strike),"Imitating the stinging winds of ocean storms, you strike with
a debilitating slash and a spray of dust. Make a melee attack.
If it hits, it deals weapon damage as normal plus an additional
3d6 points of damage. If you drew your weapon as part of
initiating this strike, a struck target takes a –4 penalty on
attack rolls for one round.",3,icons/svg/waterfall.svg
